year,lat,lon,average_spi,peak_spi,drought_duration
1850,-87.0,176.25,-1.1300837460514748,-1.1300837460514748,1
1850,-87.0,191.25,-1.1886505700577876,-1.1886505700577876,1
1850,-87.0,193.75,-1.2895413273727652,-1.2895413273727652,1
1850,-87.0,196.25,-1.2186235682283266,-1.2186235682283266,1
1850,-87.0,198.75,-1.213049600427951,-1.213049600427951,1
1850,-87.0,201.25,-1.0330009038553307,-1.0330009038553307,1
1850,-87.0,206.25,-1.1924744286677904,-1.1924744286677904,1
1850,-87.0,208.75,-1.2157516658146224,-1.2157516658146224,1
1850,-87.0,211.25,-1.1861919297056889,-1.1861919297056889,1
1850,-87.0,213.75,-1.2317127732270754,-1.2317127732270754,1
1850,-87.0,216.25,-1.4107840173696962,-1.4107840173696962,1
1850,-87.0,218.75,-1.4859741111505536,-1.4859741111505536,1
1850,-87.0,221.25,-1.4308121123588722,-1.4308121123588722,1
1850,-87.0,223.75,-1.1578151287969976,-1.1578151287969976,1
1850,-87.0,228.75,-1.2933834636633512,-1.2933834636633512,1
1850,-87.0,231.25,-1.4259824615023082,-1.4259824615023082,1
1850,-87.0,233.75,-1.3286560235689,-1.3286560235689,1
1850,-87.0,236.25,-1.3520564439773122,-1.3520564439773122,1
1850,-87.0,238.75,-1.2900707750088338,-1.2900707750088338,1
1850,-87.0,241.25,-1.0410321016212545,-1.0410321016212545,1
1850,-87.0,243.75,-1.094637260958793,-1.094637260958793,1
1850,-87.0,273.75,-1.003277225336262,-1.003277225336262,1
1850,-87.0,276.25,-1.0383544550309594,-1.0383544550309594,1
1850,-85.0,176.25,-1.0359553224680824,-1.0359553224680824,1
1850,-85.0,188.75,-1.3606018111049665,-1.3606018111049665,1
1850,-85.0,191.25,-1.3717859609180112,-1.3717859609180112,1
1850,-85.0,193.75,-1.7224904487159056,-1.7224904487159056,1
1850,-85.0,196.25,-1.466417962074349,-1.466417962074349,1
1850,-85.0,218.75,-1.8110380159779584,-1.8110380159779584,1
1850,-85.0,221.25,-1.9424414623885464,-1.9424414623885464,1
1850,-85.0,223.75,-1.766767759298708,-1.766767759298708,1
1850,-85.0,226.25,-1.76164016369883,-1.76164016369883,1
1850,-85.0,228.75,-1.6380291533555351,-1.6380291533555351,1
1850,-85.0,231.25,-1.61287429398588,-1.61287429398588,1
1850,-85.0,233.75,-1.7012516628542529,-1.7012516628542529,1
1850,-85.0,236.25,-1.7112883100990195,-1.7112883100990195,1
1850,-85.0,238.75,-1.669266982326857,-1.669266982326857,1
1850,-85.0,241.25,-1.6219578510777424,-1.6219578510777424,1
1850,-85.0,243.75,-1.5076444251937444,-1.5076444251937444,1
1850,-85.0,246.25,-1.4684130020751656,-1.4684130020751656,1
1850,-85.0,248.75,-1.3388361473075086,-1.3388361473075086,1
1850,-85.0,251.25,-1.2987118155819437,-1.2987118155819437,1
1850,-85.0,253.75,-1.244985662005507,-1.244985662005507,1
1850,-85.0,256.25,-1.235583961667592,-1.235583961667592,1
1850,-85.0,266.25,-1.0252785070923416,-1.0252785070923416,1
1850,-83.0,113.75,-1.0002771828430992,-1.0002771828430992,1
1850,-83.0,116.25,-1.0257736168957026,-1.0257736168957026,1
1850,-83.0,118.75,-1.1667220332080863,-1.1667220332080863,1
1850,-83.0,121.25,-1.007788512493775,-1.007788512493775,1
1850,-83.0,123.75,-1.1950422809685584,-1.1950422809685584,1
1850,-83.0,126.25,-1.063956057611403,-1.063956057611403,1
1850,-83.0,208.75,-1.54930588437327,-1.54930588437327,1
1850,-83.0,211.25,-1.4475964675906934,-1.4475964675906934,1
1850,-83.0,213.75,-1.2306581813292847,-1.2306581813292847,1
1850,-83.0,216.25,-1.3249972722411831,-1.3249972722411831,1
1850,-83.0,218.75,-1.3029964748396987,-1.3029964748396987,1
1850,-83.0,221.25,-1.3197964487472758,-1.3197964487472758,1
1850,-83.0,223.75,-1.6057214355707845,-1.6057214355707845,1
1850,-83.0,226.25,-1.597594641530233,-1.597594641530233,1
1850,-83.0,228.75,-1.5546815299027823,-1.5546815299027823,1
1850,-83.0,231.25,-1.7180946486558737,-1.7180946486558737,1
1850,-83.0,233.75,-1.8360813095367248,-1.8360813095367248,1
1850,-83.0,236.25,-1.6386911854712989,-1.6386911854712989,1
1850,-83.0,238.75,-1.5611708762014005,-1.5611708762014005,1
1850,-83.0,241.25,-1.4374720439604216,-1.4374720439604216,1
1850,-83.0,243.75,-1.3843277080258014,-1.3843277080258014,1
1850,-83.0,246.25,-1.4028660798881096,-1.4028660798881096,1
1850,-83.0,248.75,-1.4605782347955143,-1.4605782347955143,1
1850,-83.0,251.25,-1.5584755756117636,-1.5584755756117636,1
1850,-83.0,253.75,-1.4782895608557685,-1.4782895608557685,1
1850,-83.0,256.25,-1.5367849803299425,-1.5367849803299425,1
1850,-83.0,266.25,-1.0121834419762317,-1.0121834419762317,1
1850,-81.0,48.75,-1.129966607069813,-1.129966607069813,1
1850,-81.0,51.25,-1.364972853924948,-1.364972853924948,1
1850,-81.0,53.75,-1.7052220584741,-1.7052220584741,1
1850,-81.0,56.25,-2.1854972371226933,-2.1854972371226933,1
1850,-81.0,58.75,-2.1992838255606224,-2.1992838255606224,1
1850,-81.0,61.25,-2.155349581137098,-2.155349581137098,1
1850,-81.0,63.75,-1.8867711733091443,-1.8867711733091443,1
1850,-81.0,66.25,-1.7120630617865829,-1.7120630617865829,1
1850,-81.0,68.75,-1.778549733134352,-1.778549733134352,1
1850,-81.0,71.25,-1.6281736473424502,-1.6281736473424502,1
1850,-81.0,73.75,-1.6947967275924158,-1.6947967275924158,1
1850,-81.0,76.25,-1.3728057350029086,-1.3728057350029086,1
1850,-81.0,131.25,-1.0386722048536996,-1.0386722048536996,1
1850,-81.0,153.75,-1.2797688728819103,-1.2797688728819103,1
1850,-81.0,213.75,-1.7412997740610645,-1.7412997740610645,1
1850,-81.0,216.25,-1.7382132411126228,-1.7382132411126228,1
1850,-81.0,218.75,-1.6653961461502826,-1.6653961461502826,1
1850,-81.0,221.25,-1.6795090517564273,-1.6795090517564273,1
1850,-81.0,223.75,-1.5895179030667237,-1.5895179030667237,1
1850,-81.0,226.25,-1.4113435777455494,-1.4113435777455494,1
1850,-81.0,228.75,-1.292862704357158,-1.292862704357158,1
1850,-81.0,231.25,-1.2713436532620015,-1.2713436532620015,1
1850,-81.0,233.75,-1.2288767625520391,-1.2288767625520391,1
1850,-81.0,236.25,-1.3955139692640155,-1.3955139692640155,1
1850,-81.0,238.75,-1.4640627949114935,-1.4640627949114935,1
1850,-81.0,241.25,-1.3521579691574117,-1.3521579691574117,1
1850,-81.0,243.75,-1.3545822051750789,-1.3545822051750789,1
1850,-81.0,246.25,-1.381005174456068,-1.381005174456068,1
1850,-81.0,248.75,-1.5473189198816473,-1.5473189198816473,1
1850,-81.0,251.25,-1.5081076174931185,-1.5081076174931185,1
1850,-81.0,253.75,-1.4287867609845055,-1.4287867609845055,1
1850,-81.0,256.25,-1.2811135335868098,-1.2811135335868098,1
1850,-81.0,258.75,-1.0489355805772482,-1.0489355805772482,1
1850,-79.0,41.25,-1.00737026331414,-1.00737026331414,1
1850,-79.0,43.75,-1.789076335787838,-1.789076335787838,1
1850,-79.0,46.25,-1.7630656014791974,-1.7630656014791974,1
1850,-79.0,48.75,-1.8350913330446423,-1.8350913330446423,1
1850,-79.0,51.25,-2.1585456300571435,-2.1585456300571435,1
1850,-79.0,53.75,-1.9278276627033804,-1.9278276627033804,1
1850,-79.0,56.25,-1.7904892747341952,-1.7904892747341952,1
1850,-79.0,58.75,-1.839715468254004,-1.839715468254004,1
1850,-79.0,61.25,-1.9033359917814696,-1.9033359917814696,1
1850,-79.0,63.75,-1.635769969643308,-1.635769969643308,1
1850,-79.0,66.25,-1.5144252380480383,-1.5144252380480383,1
1850,-79.0,68.75,-1.4338272289284255,-1.4338272289284255,1
1850,-79.0,71.25,-1.4861985411883478,-1.4861985411883478,1
1850,-79.0,73.75,-1.565059379816154,-1.565059379816154,1
1850,-79.0,76.25,-1.6055844107943564,-1.6055844107943564,1
1850,-79.0,78.75,-1.4862377218337572,-1.4862377218337572,1
1850,-79.0,81.25,-1.2964752139934443,-1.2964752139934443,1
1850,-79.0,83.75,-1.2873054862369264,-1.2873054862369264,1
1850,-79.0,86.25,-1.0952365434184097,-1.0952365434184097,1
1850,-79.0,136.25,-1.0166640117935155,-1.0166640117935155,1
1850,-79.0,138.75,-1.0631808507193434,-1.0631808507193434,1
1850,-79.0,143.75,-1.123900160640552,-1.123900160640552,1
1850,-79.0,148.75,-1.3463727728615558,-1.3463727728615558,1
1850,-79.0,151.25,-1.304197621863975,-1.304197621863975,1
1850,-79.0,153.75,-1.154974373693628,-1.154974373693628,1
1850,-79.0,158.75,-1.3011259782362077,-1.3011259782362077,1
1850,-79.0,161.25,-1.369657792163042,-1.369657792163042,1
1850,-79.0,198.75,-1.2607220187993835,-1.2607220187993835,1
1850,-79.0,206.25,-1.8194354121720735,-1.8194354121720735,1
1850,-79.0,208.75,-1.8092094844500088,-1.8092094844500088,1
1850,-79.0,211.25,-1.993049073668682,-1.993049073668682,1
1850,-79.0,213.75,-1.8948990221571904,-1.8948990221571904,1
1850,-79.0,216.25,-1.3323761549319408,-1.3323761549319408,1
1850,-79.0,218.75,-1.1456955925441272,-1.1456955925441272,1
1850,-79.0,221.25,-1.110732524370056,-1.110732524370056,1
1850,-79.0,233.75,-1.068436981018378,-1.068436981018378,1
1850,-79.0,241.25,-1.1446011244735137,-1.1446011244735137,1
1850,-79.0,243.75,-1.8193658578323015,-1.8193658578323015,1
1850,-79.0,246.25,-2.1557898651124923,-2.1557898651124923,1
1850,-79.0,248.75,-1.9527454322557125,-1.9527454322557125,1
1850,-79.0,251.25,-1.8822279020947252,-1.8822279020947252,1
1850,-79.0,253.75,-1.5090791544371538,-1.5090791544371538,1
1850,-79.0,256.25,-1.2846289858059137,-1.2846289858059137,1
1850,-79.0,258.75,-1.0599836724212166,-1.0599836724212166,1
1850,-77.0,41.25,-1.2512401811896756,-1.2512401811896756,1
1850,-77.0,43.75,-1.3818014383012625,-1.3818014383012625,1
1850,-77.0,46.25,-1.3317148373132892,-1.3317148373132892,1
1850,-77.0,48.75,-1.5645257833978925,-1.5645257833978925,1
1850,-77.0,51.25,-1.6007823937238068,-1.6007823937238068,1
1850,-77.0,53.75,-1.7233398513735512,-1.7233398513735512,1
1850,-77.0,56.25,-1.7859429693184543,-1.7859429693184543,1
1850,-77.0,58.75,-1.7269949396493056,-1.7269949396493056,1
1850,-77.0,61.25,-1.712500556695864,-1.712500556695864,1
1850,-77.0,63.75,-1.6935399071816104,-1.6935399071816104,1
1850,-77.0,66.25,-1.802969180357425,-1.802969180357425,1
1850,-77.0,68.75,-1.7471225292131831,-1.7471225292131831,1
1850,-77.0,71.25,-1.4549475577358562,-1.4549475577358562,1
1850,-77.0,73.75,-1.2281254627063634,-1.2281254627063634,1
1850,-77.0,76.25,-1.007960577028875,-1.007960577028875,1
1850,-77.0,88.75,-1.0614428170357584,-1.0614428170357584,1
1850,-77.0,211.25,-1.9359726018272212,-1.9359726018272212,1
1850,-77.0,213.75,-1.9094893553704797,-1.9094893553704797,1
1850,-77.0,216.25,-1.6485252331908549,-1.6485252331908549,1
1850,-77.0,218.75,-1.6605962605721598,-1.6605962605721598,1
1850,-77.0,221.25,-1.60558358843712,-1.60558358843712,1
1850,-77.0,223.75,-1.44746407601874,-1.44746407601874,1
1850,-77.0,226.25,-1.3830847129798516,-1.3830847129798516,1
1850,-77.0,228.75,-1.279323193380162,-1.279323193380162,1
1850,-77.0,231.25,-1.4255460401515108,-1.4255460401515108,1
1850,-77.0,233.75,-1.4898577169461642,-1.4898577169461642,1
