continent,spi_change,variability_change,temp_change_C,pr_change,spi_slope_change
Africa,-0.020575999999999997,-0.03290238292001521,0.6153259999999996,0.0021655000000002644,0.00016462963604052744
Antarctica,0.38327849999999997,0.036234882922831585,0.7033574999999992,0.04529300000000025,0.006147541034872717
Asia,0.24450466666666668,0.00984878094916572,0.8382069999999988,0.021260333333333215,0.007141806949925764
Australia-Oceania,-0.007728999999999998,-0.03787792582048319,0.4798729999999978,-0.001239499999999616,-0.0017595742689653585
Europe,0.17280500000000001,-0.011352281555058852,0.7865835,0.03975149999999994,0.01104729726049528
North America,0.09868066666666665,0.012820613959341198,0.746064333333333,0.018777000000000044,-0.006689282243608977
South America,-0.1776345,0.0016228815427938303,0.5875740000000036,-0.1266750000000001,0.005296345403771147
