country,continent,spi_slope_modern
Bosnia and Herzegovina,Europe,0.019169615384615386
Tajikistan,Asia,0.019645384615384617
United States,North America,0.019664999999999995
Tunisia,Africa,0.020024692307692306
San Marino,Europe,0.021121846153846154
India,Asia,0.02164457692307692
Kenya,Africa,0.021859153846153848
Pakistan,Asia,0.022462653846153847
Saudi Arabia,Asia,0.02309446153846154
Uzbekistan,Asia,0.02429169230769231
Montserrat,North America,0.024406
Turkey,Asia,0.02447123076923077
Tokelau,Oceania,0.026599846153846158
Nauru,Oceania,0.026747153846153844
Botswana,Africa,0.027016884615384613
Slovakia,Europe,0.028036846153846155
South Korea,Asia,0.02839007692307692
Serbia,Europe,0.029292923076923074
Ukraine,Europe,0.030607692307692315
Latvia,Europe,0.03216653846153847
Turks and Caicos Islands,North America,0.032365230769230764
Lesotho,Africa,0.03347953846153846
Eswatini,Africa,0.034225384615384616
Azerbaijan,Asia,0.035093846153846156
Armenia,Asia,0.036256538461538465
Kyrgyzstan,Asia,0.03631069230769231
Japan,Asia,0.037383692307692305
Macau,Asia,0.039772192307692314
Germany,Europe,0.040877000000000004
Zimbabwe,Africa,0.041391076923076926
Algeria,Africa,0.04306969230769231
Hungary,Europe,0.04324723076923077
Belarus,Europe,0.04382684615384615
Poland,Europe,0.04449915384615385
Georgia,Asia,0.04744084615384615
Mongolia,Asia,0.04970015384615385
